Kata,Noun,Verb,Adjektiva,Adverb
belukar,"samun,semak",,,
beluku,"bajak,luku,tenggala",,,
belukut,"bekatul,busi,lemukut,lukut,melukut,menir,temukut",,,
belulang,"bawak,kapal,kulit,keras,kulit",,,
beluluk,"bungsil,mumbang,putik,kelapa,aren,belolok,enau,kabung",,,
belus,,,"licin,terlepas",
bembam,,peram,,
bena,,,"memesona,menarik,menawan",
benah,,"beres-beres,berkemaskemas,bersegeh,membenahi",,
benak,"akal,angan-angan,ingatan,isi",,,
benalu,"parasit,pasilan,sakat",,,
benam,,"berendam,berkubang,berkurung,,mendekam,mengeram",,
benang,"kenur,lawai,lawe,lembar,lungsin,makao,rayon,sutra,tali,untai,utas",,,
benar,,,"adil,akurat,betul,cocok,jujur,loyal,lurus,hati,lurus,mustakim,pas,pasti,persis,,piawai,sadik,sah,sahih,sejati,sempurna,sepadan,sesuai,setia,sungguh,tahkik,tepat,valid,aci,asi,legal,resmi,asli,ada,faktual,memang,nyata,real,sungguh-sungguh,hak,imbang",
benara,"benatu,binatu,dobi,penatu",,,
bencah,"lumpur,paya,rawa",,,
bencana,"bahala,bahaya,bala,dahiat,kecelakaan,kegagalan,kemalangan,kematian,kemudaratan,kenahasan,kerugian,kesedihan,kesengsaraan,kesialan,kesusahan,ketewasan,mala,malapetaka,mara,marabahaya,musibah,petaka,tragedi,gangguan,godaan",,,
bencana,"murka,alam,musibah,petaka",,,
benci,,,"antipati,berang,berkesan,bingit,cemburu,dendam,dengki,dongkol,gemas,geram,gondok,gregetan,gusar,hasad,iri,jejap,jemu,jengkel,jijik,keki",
benda,"entitas,jasad,materi,objek,sesuatu,substansi,zat,arta,aset,banda,harta,kekayaan,barang",,,
bendahara,"bendaharawan,kasir,petugas,keuangan,mangkubumi,patih,perdana,menteri,wazir,gajah,menteri",,,
bendera,"kalimantang,liwa,panji-panji,tunggul,ular-ular,umbul-umbul,alam,duaja,pataka,standar",,,
bendi,"andong,cikar,delman,dokar,gerobak,kereta,kuda,pedati,sado",,,
bendo,parang,,,
bendo,"destar,ketu,udeng,saluk,tengkuluk",,,
bendung,"dam,pengembang",,,
bengap,,,"bimbang,bengal,bising,budek,pekak,pengang,gelagapan,gugup,patah,lidah,terbata-bata,tergagap-gagap,terga-guk-gaguk,tergugu-gugu,terkoselkosel,terpatah-patah,terputus-putus,tersendat-sendat",
bengawan,"batang,air,kali,,sungai,wai",,,
benggol,"benjol,bincul",,,
benggol,"gobang,cak,benggolan",,,
bengis,,,"aniaya,kejam",
bengkak,,,"babak,belur,bakup,balut,barah,basal,bedan,beliut,bengep,benggil,benggol,bengkil,bengul,benjol,benjut,bentol,besar,bintil,bintul,bisul,bokong,bon-col,bonggal,bonjol,buncit,bundas,dengkel,gembung,jendol,jendul,lasa,melembung,melendung,menyonyor,sembam,sembap,tembam,tonjol",
bengkalai,,"membiarkan,mendamparkan,mengabaikan,mengacuhkan,meninggalkan,menyianyiakan",,
bengkang-bengkok,,,"bengat-bengut,berkeluk-keluk,meliuk-liuk",
bengkarak,"kerangka,tulang,belulang",,,
bengkarung,"cecak,tanah,kadal",,,
bengkel,"pabrik,atelir,padepokan,sanggar,studio",,,
bengkok,,,"belengkok,beliut,belok,bengkol,bengkung,benyot,berkelok,berkeluk,berlekuk,biang,biut,bongkok,bungkuk,cengkok,cengkol,cengkong,gelianggeliut,genjang,incang-incut,incut,kelok,kencong,lantik,lekuk,lendut,lengkok,lengkung,lentur,liku,melendung,melendut,melengkung,melentik,mencong,mengsol,menjengkit,miring,patah,pencong,pengkar,pengkol,pengkor,peok,piat,pitut,piuh,pukah,ringkuk,ruit,serong,tekuk,timpang,ki,cerdik,curang,culas,kerang-keroh,keroh,lancung,lengit,licik,licin",
bengkuang,"besusu,lais,sengkuang",,,
bengkudu,"mengkudu,pace",,,
bengkunang,"kancil,mencek,napuh,pelanduk",,,
bengkung,"angkin,bebat,perut,ikat,pinggang,kendit,korset,sabuk,setagen,setagi",,,
bengong,,"melamun,melongo,tercenung,terdiam,teringainga,terlolong-lolong,termangu,termengung,termenung",,
bengot,,,"benyot,berong,erot,genyot,mencong,mengsol,merot,miring,pencong,perot,pesong",
benguk,,,"duka,galabah,gobar,hati,gundah,kusut,muka,masygul,muram,murung,pilu,prihatin,samak,sedih,sedu,susah",
benih,"asal,mula,baka,bakal,benur,bibit,bija,biji,calon,janin,jauhar,nutfah,pokok,punca,redih,semaian,sumber",,,
bening,,,"bersih,cerah,hening,jernih,menjantang,putih,resik,semerawang,suci,telus,tembus,cahaya,tembus,pandang,tembus,sinar,terang,transparan",
bensin,"gasolin,minyak,bumi,petrol",,,
bentak,,hardik,,
bentala,"adam,ardi,buana,bumi,butala,dunia,globe,jagat,tanah",,,
bentang,,"beber,buka,ceritakan,hampar,jelaskan,terangkan,uraikan,kembang,kibar,papar,pentang,rentang",,
bentar,,"membegari,memutari,mengelilingi,mengitari",,
benteng,"baluarti,baluwarti,bendung,dinding,galengan,gili-gili,kota,kubu,pagar,pematang,pertahanan,puri,sekat,tambak,tembok,defensi,pembantar,penahan,penangkal,penangkis,perisai,perlindungan,proteksi,tameng",,,
bentrok,,"berantem,,berbantah,berbeda,pendapat,berbenturan,berburuk,bercakar-cakaran,bercekak,bercekcok,bercekit,berdiam-diaman,berkelahi,berlanggaran,berlawanan,bermusuhan,bersanggit,berselisih,bersengketa,berseteru,menumbukkan,menyampukkan,memecah,belah,menceraiberaikan,mengadu",,
bentuk,"aliran,bangun,cara,corak,formasi,format,gaya,karakter,kerangka,konstruksi,motif,orde,paham,potongan,rangka,raut,roman,rupa,sifat,sikap,sistem,sosok,struktur,susunan,tataan,tatanan,wajah,watak,wujud",,,
bentul,"keladi,talas",,,
bentur,,"langgar,tabrak",,
benua,"alam,bentala,buana,bumi,daratan,dunia,kerajaan,kesultanan,kontinen,negara,negeri,tanah,raya,tanah,tempat",,,
benyek,,,"basah,becek,berair,berlumpur,bonyok,empuk,gembur,jembak,lembek,lembik,lembut,lenyah,lenyau,lodoh,lunak",
benyot,,,"bengot,berong,erot,genjang,genyot,incang-incut,mencong,mengot,mengsol,merot,miring,pencong,penyek,penyet,penyot,peok,peot,perot,pesong,peyot,serong",
beo,tiung,,,
berahi,,,,
berai,,,"berpesai-pesai,ceraiberai,relai",
beraja,"bintang,beralih,kelodan,panah,api,tahi,bintang",,,
berak,,"beol,,buang,air,besar,buang,hajat,buang-buang,air,diare,disentri,eek,,ke,belakang,kincit,menceret,mencirit,murus",,
berambang,"bawang,merah",,,
beranda,"anjung,peranginan,balkon,emper,geladeri,halaman,kelek-kelekan,langkan,merak,simpin,mezanin,pekarangan,pelataran,pendapa,peron,selasar,sengkuap,serambi,tepas,teras",,,
berandal,"anak,jalanan,anak,nakal,bajingan,bandit,bergajulan,bergajul,cecunguk,congo,cungo,gali,pembajak,pencopet,pencuri,pengacau,penjahat,penjambret,penjarah,penodong,penyamun,penyerobot,perampok,perisau,perompak,perusuh,preman,",,,
berang,,,"marah,murka",
berangan,"arsenikum,belerang,bang,racun,tikus,warangan,zirnikh",,,
berangan,"anjing,air,sero",,,
berangkat,,"angkat,kaki,beranjak,bergerak,berjalan,berlayar,bertolak,bertunda,enyah,lari,lepas,landas,membawa,diri,meninggalkan,menuju,pergi,terbang,bertambah,,menginjak,mulai",,
berangsang,marah,,,
berangus,selongsong,,,
berani,,,"bagak,bahadur,bahaduri,dakar,gagah,jantan,kesatria,kosen,nekat,nyali,besar,pelupuk,mata,percaya,diri,perkasa,perwira,satria,tabah,tegar,tetap,hati",
berantak,,"melerak,membongkar-bangkir,memorakporandakan,menceraiberaikan,mengacak-acak,mengacaukan,mengaduk-aduk,mengawut-awut,menyerakkan,membuyarkan,menghancurkan,merusak",,
berantas,,"basmi,binasakan,bunuh,hapus,hilangkan,lenyapkan,matikan,musnahkan,perangi,punahkan",,
beras,"bertih,biji-bijian,butir-butiran,gabah,melukut,menir,padi",,,
berat,"beban,bobot,muatan,sukatan,takaran,timbangan,ukuran",,,
bercak,"becak,belang,bintik,bopeng,flek,kotoran,kurik,loreng,noda,noktah,rintik,selekeh,telau,titik",,,
berdikari,,,"bebas,independen,lepas,mandiri,merdeka",
beredel,,"berangus,cabut,tutup",,
berendeng,,,,"berangkaian,berbaris,berdampingan,berderet-deret,berentetan,beriringan,berjejer-jejer,bersampingan,bersinambung,bersisi-sisian,berturutturut,beruntun,berurutan,sambung-menyambung"
berengos,"berewok,cambang,janggut,jenggot,kumis,misai,sungut",,,
berengsek,,,"amburadul,bandel,bawel,bergajul,canggih,cerewet,comel,kacau,menyebalkan,resek",
beres,,,"apik,bagus,baik,berakhir,bersih,habis,kelar,,kemas,langsai,lunas,mulus,putus,rampung,rapi,segeh,selesai,sempurna,siap,simpan,teratur,tertata,tertib,tuntas,impas,terbayar,cak,betul,normal,jalan,bekerja,berfungsi",
berewok,"bereo,bewok,cambang,godek,ja-bang,janggut,jenggot,kumis,misai,sungut",,,
bergas,,,"akas,cakap,campin,cepat,cergas,galir,gancang,gapah,gesit,jeraus,langkas,lincah,pantas,sebat,sigap,tangkas,terampil,trengginas",
berhala,"fetis,kultus,pujaan,tagut",,,
beri,,"agihkan,alokasikan,antarkan,bagikan,bantu,bayari,beritakan,biayai,bubuhkan,danai,distribusikan,dukung,haturkan,informasikan,izinkan,kabarkan,kabulkan,kasihkan,kirimkan,layangkan,lepaskan,luluskan,modali,ongkosi,perbolehkan,perkenankan,sampaikan,sebarkan,sediakan,serahkan,silakan,sodorkan,sokong,sumbang,ucapkan,utarakan",,
beri-beri,"filariasis,kaki,gajah",,,
berida,,,"bertongkat,sendok,berumur,gaek,,jompo,lanjut,umur,lanjut",
beringin,"mendira,waringin",,,
berisik,,,"bising,damat,gaduh,geger,gelumat,gempar,heboh,hiruk,hiruk-pikuk,huru-hara,ingar-bingar,onar,ramai,ribut,riuh,riuh-rendah,rusuh",
berita,"buletin,cerita,deklarasi,info,informasi,kabar,kisah,maklumat,pemberitahuan,pengumuman,siaran,uaruar,ulasan,pers,urit,urita,wara-wara,warita,,warta",,,
beri,,"memperlihatkan,menunjukkan,menyinggir,membilangi,,memfatwakan,menasihati,menegur,mengingatkan,menyelentik,menyentil,menyiangi,kesalahan",,
berkah,"bantuan,berkat,hidayah,hidayat,inayat,karunia,kebahagiaan,kurnia,pangestu,pertolongan,rahmat,tuah",,,
berkas,"arsip,belembang,bendel,bondot,bundel,fail,folder,gabungan,gebung,ikatan,jilid,kelompok,kumpulan,susunan,cercah,jaras,carik,slip",,,
berkat,berkah,,,
berlian,permata,,,
bernas,,,"berisi,molek,,montok,padat,penuh,pukal,sebu,sintal,subur,ki,berbobot,berkualitas,bermutu,bermakna,dalam,kaya,luas,signifikan",
berondong,,"menembaki,ki,mencecar,menghujani",,
berongsang,,"marahmarah,membawang,membengis,memberangsang,mencak-mencak,meradang,naik,darah,naik,pitam",,
berongsong,,"memberangus,menyelongsongi,menyimpai,mulut",,
berontak,,"meronta,melawan",,
bersih,,,"bening,cemerlang,cerah,jernih,jujur,khalis,kilap,kudus,lurus,hati,mukhlis,murni,mustakim,putih,rapi,resik,safa,siang,suci,tahir,terang,terang,tulus,zakiah,apik,ceria,cermat,ikhlas,neto,rela,resik,tuntas",
bersin,,"bangkis,wahing",,
bersit,,"melahirkan,memunculkan,mengeluarkan,menimbulkan",,
berudu,"anak,katak,cebong,gerundang,kecebong",,,
berujul,"kejen,lanjam,mata,bajak,mata,tenggala,nayam,sungkal,bajak",,,
beruntus,"belang-belang,bentol,bintikbintik,bintil,jendol,jendul,titik-titik,tonjolan,totol,tutul-tutul",,,
besar,,,"adi,agam,agung,akbar,banyak,berdus,boyas,buncit,buntal,dewasa,dominan,gadang,gede,gembung,gemuk,gendut,hebat,hiper-,kabir,kapital,kuat,lapang,lebar,longgar,luas,luhur,mahal,mega,mulia,muluk,raya,super,tegap,tinggi",
besar,,,"bangga,gembira",
beset,,,"babak,balur,baret,barut,beret,calar,gores,jejas,lecet,ledes,lelas,parut,terkelupas,terkopek,terkubik,terkupas",
besi,"ferum,logam,metal",,,
besing,"desing,lesing,lesit",,,
besok,"akan,datang,besok,lusa,esok,lusa,esok,kelak,lusa,nanti,tulat",,,
bestel,"ekspedisi,pengiriman,",,,
besut,,"mengalai,menggahar,menggonyoh,menggosok,menyental,mem-bersihkan,ki,memoles,memperbaiki,mempercantik,memperhalus,memperindah,mendandani",,
bet,"pemukul,bola,pingpong",,,
betah,,,"demen,,kerasan,kuat,sabar,senang,tabah,tahan,telaten",
betak-betak,"betik-betik,biang,keringat,biring,peluh,ruam",,,
betapa,,,,"alangkah,bagaimana,pun,bagaimana,bagaimanapun,juga,berapa,buatan,bukan,main,bukan,lebih-lebih,meski,sungguh"
betari,"batari,dewi",,,
betatas,"ubi,jalar",,,
beti-beti,"bida,biti-biti,dayang,pelayan",,,
betik,"kates,keliki,pepaya",,,
betik,,"beredar,merebak,merewak,pecah,terbit,terdengar,terhambur,terkuak,tersebar,terselenting,terserak,tersiar,tertabur,tertebar",,
betik-betik,"betak-betak,biang,keringat,biring,peluh,ruam",,,
betina,"awewe,bini,cewek,dayang,hawa,istri,perempuan,puan,putri,wadon,wanita",,,
beton,"batu,kerikil,pasir,semen",,,
betul,,,"sesungguhnya,sungguh,cocok,piawai,sesuai,tepat,absah,asli,bersih,orisinal,sejati,tulen,pas,persis,tepat",
bhayangkara,tamtama,,,
biadab,,,"amoral,asusila,barbar,bengis,bergajul,brengsek,brutal,,buas,buruk,buta,hati,cabul,cendala,ceroboh,durjana,jahat,jendala,kasar,kejam,keji,kurang,adat,kurang,ajar,lalim,lancang,liar,lucah,nakal,papakerma,primitif,sadis,semena-mena,sewenang-wenang,tunasusila,ugal-ugalan,zalim",
biadi,"cacing,kerawit,cacing,keremi",,,
biak,,"kembang,tumbuh",,
biang,"asal,mula,babon,bibit,bos,inang,induk,indung,inti,kepala,pangkal,pati,pemimpin,pokok,biang,keladi,buaya,ekstrak,esens,konsentrat,sari,akar,benih,pohon",,,
bianglala,"benang,raja,keluwung,pelangi,teja,ular,mengiang,warna-warni",,,
biaperi,"pedagang,saudagar",,,
biar,,,,
biara,"asrama,bruderan,pertapaan,susteran,wihara",,,
biarawan,"biksu,bruder,pertapa,rahib,romo",,,
biarawati,"biksuni,pertapa,,suster",,,
bias,"anomali,belokan,arah,deviasi,distorsi,pancaran,patahan,pencaran,penyimpangan,refraksi,sebaran,simpangan,kecurigaan,praduga,prasangka,purbasangka,syak",,,
biasa,,,"awam,banal,elementer,formal,gaib,jamak,kaprah,kebanyakan,kering,konvensional,lasah,lasak,lazim,lugu,lumrah,naif,natural,normal,polos,populer,prosais,reguler,rutin,sahaja,sedang,sederhana,sewajarnya,simpel,,standar,stereotip,teradat,teratur,umum,kebanyakan,preman,sipil,cakap,lihai,luwes,mahir,pandai,piawai,terampil,terbiasa,terkondisi",
biawak,beriang,,,
biaya,"anggaran,bayaran,bea,beban,be",,,
bibi,"bulik,etek,mak,kecil,mak,cik,mak,muda,tante,abdi,bayu,bedinda,benduan,hamba,pelayan,pembantu",,,
bibir,"bingkai,birai,gisik,lis,pigura,pinggir,rusuk,sembir,sisi,susur,tepi,tubir,cak,bacot,cakap,congor,lambe,perkataan,tuturan,ucapan",,,
bibit,"baka,bakal,benih,benur,bija,biji,calon,kader,kecambah,keturunan,punca,redih,semaian,tampang,tunas",,,
bibliografi,"daftar,acuan,daftar,rujukan,daftar,bacaan,daftar,pustaka,kepustakaan,literatur,pustaka,acuan,referensi",,,
bibliotek,"perpustakaan,ruang,baca,ruang,belajar,taman,bacaan,taman,pustaka",,,
bicara,,,,
bicokok,"bingkatak,buaya,katak,buaya",,,
bida,"bidadari,beti-beti,biti-biti,dayang,pelayan",,,
bidadari,"dewi,haur,peri",,,
bidah,"dusta,kebohongan",,,
bidak,"benteng,buah,catur,gajah,kuda,laskar,menteri,permaisuri,piadah,pion,raja",,,
bidal,"dedal,sarung,jari,tudung,jari",,,
bidan,"dukun,bayi,dukun,beranak,paramedis,perawat,suster",,,
bidang,"aspek,bagian,dunia,faktor,jurusan,kelompok,permukaan,segi,sektor,sisi,sudut,pandangan,tempat",,,
bidara,widara,,,
bidas,,"membingkas,menjeprat,terlontar,berbalik,melantun,melenting,memantul,membal,mengambul,menganjal,mengantul,mengelanjar,mengenyal,menyembat,melantas,mendobrak,menembus,menempur,menerobos,menyerang,menyerbu,menyerobot,meradak,merempuh,membalas,menanggapi,menangkis,menimpali,menjawab,merespons",,
bidik,,"membega,memitar,menatar,menenok,mengacu,mengarahkan,menghalakan,mengincar,menodongkan,menuju,menunjukkan,menyasar,membelek,mengamati,mengawasi,melihat",,
biduan,"biduanita,pelagu,pendendang,penembang,penyanyi,pesinden,vokalis",,,
biduanda,"abdi,budak,pengiring,juakjuak,kundangan,punakawan",,,
bija,"bakal,benih,bibit,biji,tampang",,,
bijak,,,"alim,arif,arif,berakal,berbudi,bestari,bijaksana,budiman,cakap,cerdik,cermat,fasih,mahir,pandai,pintar,tajam",
bijaksana,,,"arif,berakal,berbudi,berpaham,bestari,bijak,cakap,cermat,fasih,mahir,pandai,pintar,tajam,pikiran,teliti",
bijan,"sesam,wijen",,,
biji,"isi,buah,bulir,butir,batu,batang,buah,gelintir,gentel,potong",,,
biji,"angka,kredit,kum,nilai,poin,skor",,,
bijih,"batuan,pasir,tanah",,,
biksu,"biarawan,biku,pendeta,pertapa,rahib",,,
biku,biksu,,,
biku,"kelim,kili,pelipit,som,takik,wiru",,,
bila,,,,
bilal,"modin,muazin",,,
bilamana,,,,
bilang,"beberapa,sejumlah,2",,,
bilas,,"basuh,bersihkan,ciprat,cuci,gebyur,guyur,mandi,percik,semprot,siram",,
biliar,"bola,sodok",,,
bilik,"bidai,dinding,gedek,kerai,pagar,sekat,tadir,tembok,tepas,barak,geladak,kabin,kamar,kelas,kurungan,petak,ruang,sekatan,sel,sentong",,,
bilingual,"dua,bahasa,dwibahasa",,,
bilur,"bilai,calar,coreng,garit,gores",,,
bilyet,"surat,berharga,karcis,kartu",,,
bimbang,,,"bengap,bingung,buncah,cemas,curiga,empot-empotan,,galau,gamam,gelisah,gentar,goyah,kacau,khawatir,kusut,limbung,mendua,hati,ragu-ragu,rambang,resah,risau,rusuh,hati,rusuh,pikiran,sangsi,selempang,susah,hati,syak,wasangka,syak,takut,terbata-bata,terkimbang-kimbang,terombang-ambing,was-was",
bimbing,,"bimbit,tuntun,asuh,didik,pimpin",,
bina,,"memajukan,membangun,membarukan,membentuk,membimbing,membuat,membudayakan,memperadabkan,memperbaiki,memperkuat,memupuk,menasihati,mencipta,mendirikan,menegakkan,mengarahkan,mengasuh,menggalang,menggerakkan,menjalin,menumbuhkan,menyelenggarakan",,
binal,,,"babil,bandel,bedegong,bengal,berandal,degil,jahat,kepala,batu,keras",
binar,"cahaya,kirana,nur,pendar,sinar",,,
binasa,,,"ambruk,ancai,bedah,bobol,bobrok,habis,hancur,lebur,hancur,hilang,jahanam,jatuh,jebol,kikis,langis,lebur,lenyap,luluh,lantak,musnah,pecah,punah,pupus,ranap,rapun,redam,rembas,remuk,redam,roboh,rubuh,runtuh,rusak,sirna,tamat,tandas,tumpas,tumpur",
binatang,"dabat,fauna,hewan,satwa",,,
binatu,"benara,benatu,dobi,penatu",,,
bincang,,"bicara,runding",,
bindam,,,"bedan,bengep,bonyok,memar",
bineka,,,"beragam,beraneka,macam,beraneka,ragam,beraneka,rupa,berbagai",
bingkah,"bongkah,briket,gumpalan,ketul,pukal",,,
bingkai,"birai,gipsum,,lis,pigura,rangka,simpai,",,,
bingkatak,"bicokok,buaya,katak,buaya",,,
bingkis,,kirim,,
bingung,,,"buncah,gagap,gamam,ganar,gelagapan,gelisah,gugup,kalang-kabut,keder,kelesah,lopak-lapik,nanar,panik,salah,tingkah,sano,tengak,terkencarkencar,berat,otak,bimbang,buntu,galau,hilang,akal,putus,akal,tertumbuk",
bini,"cak,ibu,induk,beras,istri,nyonya,,pedusi,perempuan",,,
bintang,"kartika,nasib,peruntungan,medali,medalion,tanda,jasa,asterik,tokoh",,,
bintik,"becak,bercak,burik,kurik,noktah,rintik,titik,tutul,vlek",,,
bintil,"bentol,bintul,gelegata",,,
bintit,bintil,,,
biodata,"curriculum,vitae,keterangan,riwayat,hidup",,,
biografi,"memoar,profil,riwayat,hidup",,,
bioskop,"film,gambar,hidup,komidi",,,
birai,"bingkai,lis,pigura",,,
birama,"ketukan,metrum",,,
biri-biri,"domba,gibas,kambing,arab,kambing,kibas",,,
birit,,"berjempalitan,berlarian,bersiah,bertemperasan,bertempiar,kocar-kacir,lintang-pukang,mengaprit,pontang-panting,sungsang,sumbal,tunggang-langgang",,
biro,"dinas,jawatan,kantor,maktab",,,
birokrat,"aparat,eksekutif,fungsionaris,pejabat",,,
bisa,,,,"becus,,cakap,dapat,kuasa,larat,mampu,pandai,sanggup"
bisa,racun,,,
bisai,,,"bagus,elok",
biseksual,,,hemafrodit,
bisik,kisik,,,
bising,,,"berisik,damat,gaduh,gelumat,hingar-bingar,hiruk-pikuk,laguh-lagah,membatu,roboh,membatu,runtuh,ramai,ribut,riuh-rendah,bengal,bengap,budek,pekak,pengang",
bisnis,"bidang,usaha,usaha,dagang",,,
bisu,,,"gagu,kelu,tunawicara",
bisul,"abses,barah,bengkak,inas,ki,borok,duri,onak,penarung,pengganggu",,,
bius,,"melenakan,menghipnotis,meninabobokan,meluruhkan,meruntuhkan",,
bivak,"barak,kamp,kemah,tenda",,,
blak-blakan,,,"bermuka-muka,terangterangan,terbuka,terus,terang,jujur",
blangko,,,"kosong,polos,abstain",
blaster,"cak,bastar,bunduk,indo,liplap,peranakan,turunan",,,
blok,"gulungan,aliansi,asosiasi,fraksi,golongan,grup,kelompok,klik,koalisi,kombinasi,kubu,persatuan,persekutuan,pihak",,,
blokade,"pengepungan,pengisolasian,penutupan",,,
blokir,,"membekukan,memutus,menahan,menghalangi,menghentikan,menutup,menyegel,menyetop",,
blong,,,"cak,dol,los",
blus,"baju,busana,pakaian",,,
bobol,,,"ambrol,bedah,hancur,jebol,kupak,meledos,pecah,rusak,tengkarap",
bobot,"berat,timbangan,ki,jenis,kualitas,mutu,nilai",,,
bobrok,,,"bangpak,bapet,bejat,buruk,jebol,jelek,korup,kupak,mati,reyot,rombeng,rusak",
bocah,"anak,awang,budak,bujang,buyung,entong,kanak-kanak,ujang,yuana",,,
bocor,,"berlubang,merembes,tiris,berburai,,terkuak,tersibak,tersingkap,terungkap,cak,buang-buang,air,mencret,murus,cak,datang,bulan,haid,membawa,bulan,menstruasi",,
bodi,"cak,bentuk,tubuh,sikap,tubuh",,,
bodoh,,,"bahlul,bambung,bebal,bego,beloh,berat,kepala,bingung,bloon,,bongak,bongkong,buta,debil,dogol,domot,dongok,dungu,goblok,idiot,imbesil,jahil,konyol,lemah,lompong,odoh,otak,ayam,otak,telur,otak,udang,pandir,pendek,akal,picik,pilon,plongah-plongoh,pongah,pusung,sementung,singkat,akal,teledor,terbelakang,tolol,tongong",
bodong,,,"bujal,membersil,tersembul",
bogel,,,"bugil,telanjang,berpukas",
bogem,"cak,ketupat,bangkahulu,ketupat,bengkulu,pukulan,tangan,tinju",,,
bogor,"atap,aren,enau,kabung,kolangkaling,mergat",,,
bohong,,,"bongak,dengkul,dusta,kibul",
bokca,"kantung,bekal,uncang",,,
bokong,"belakang,birit,pantat,pinggul",,,
bokser,petinju,,,
bola,"bal,bohlam",,,
bolak-balik,,"berkelintaran,berseliweran,bersimpang-siur,hilir-mudik,keluarmasuk,kian,ke,mari,kolang-kaling,lalu",,
bolang-baling,"baling-baling,propeler",,,
boleh,,"bisa,dapat",,
boling,"bola,gelinding",,,
bolong,,,"berlubang,bosor,sompong,terperohong",
bolos,,"absen,mangkir",,
bolsak,"kasur,pembaringan,ranjang,tempat,tidur,tilam",,,
bom,peledak,,,
bombastis,,,"berlebihan,heboh,luar,biasa,muluk,seru",
bomoh,"belian,cenayang,dukun,paranormal,poyang,syaman,malim,pawang",,,
bon,nota,,,
bonafide,,,"jujur,kredibel,meyakinkan,mukhlis,mustakim,tepercaya",
boncel,,,"katai,kerdil,kecil,mungil",
bonceng,,mendompleng,,
bondong,"kelompok,kumpulan",,,
boneka,"anak-anakan,golek,popi",,,
bongak,,,"aga,agul,anggak,angkuh,arogan,bengah,besar,cakap,besar,kecek,besar",
bonggol,"benjol,boncol,bonjol,jendul,kelasa,punuk,tonggong,tonjol,caplak,daging,tumbuh,gambol,ketuat,kutil",,,
bongkah,"bingkah,briket,bungkal,bukur,gumpalan,pukal",,,
bongkak,,,"aga,agul,anggak,angkuh,arogan,bengah,besar,cakap,besar,kepala,besar,mulut,bongak,burakah,congkak,gaduk,jemawa,kacak,langguk,lantam,pongah,rangah,sombong,tinggi,hati,uju",
bongkar,,"dobrak,rombak",,
bongkot,"pangkal,kayu,punggur,tonggak,tunggak,tunggul",,,
bongsor,,,"bagur,jagur,longgor,tonggong",
bontot,,,"buncit,bungsu,buntut,ragil,terakhir,termuda",
bonus,"ekstra,hadiah,komisi,persen,premi,adenda,inset,sisipan,suplemen,tambahan",,,
bonyok,,,"benyek,busuk,empuk,kempuh,lembek,lenyet,lodoh,lotak,lunak,nyanyar,rusak,babak,belur,babakbundas,bakup,balut,bedan,bengep,bengkak,,memar,sembap",
bopeng,"borek,burik,capuk",,,
bopong,,"memanggul,membawa,memompong,memondong,menanggung,mendukung,mengangkat,menggendong,menggotong,menjunjung",,
bor,"germit,gerudi,gurdi,incar,jara,kenceng,penebuk,lubang,penggerai,penggerek",,,
bordir,"kerawang,rekam,suji,sulam,tekat",,,
borgol,"belenggu,gari",,,
borok,"buduk,koreng,kudis,tukak",,,
borong,,,"sekalian,sekaligus",
boros,,,"abur,buar,porah,royal,sokah",
bos,"atasan,kepala,majikan,master,pejabat,pembesar,pemimpin,superior,tauke,bandar,cukong,pemodal,pemilik",,,
bosan,,,"jelak,jemu,jenuh,kesal,muak,pasai",
botak,,,"dogol,gundul,plontos,sulah",
brengsek,,,,
brevet,"diploma,ijazah,piagam,akta,sertifikat",,,
brigade,"bagian,divisi,satuan",,,
briket,"bingkah,bongkah,gumpalan,ketul,pukal",,,
brilian,,,"cemerlang,,cendekia,cerdas,cerdik,encer,,genial,genius,intelek,inteligen,lantip,pandai,pintar,ringan",
broker,"agen,blantik,calo,cengkau,dalal,makelar,perantara,pialang,talang,wakil",,,
bromocorah,"bajingan,bakul,bandit,bangsat,cecunguk,durjana,jaharu,pencoleng,penjahat,perewa,perisau,preman,,residivis",,,
brosur,"edaran,folder,katalog,pamflet,prospektus,sebaran,selebaran,sirkuler",,,
brutal,,,"cak,kasar,kurang,ajar,sembrono,bengis,biadab,,buas,jahat,kejam,sadis",
buah,"batu,biji,keping,potong,bahan,pokok,akibat,buntut,dampak,efek,ekor,hasil,impak,konsekuensi,pengaruh,produk",,,
buai,"ayunan,lenggang",,,
bual,"cakap,besar,cerita,isapan,jempol,kecap,omong,kosong,rapik,tahi,angin",,,
buana,"adam,ardi,bentala,bumi,butala,dunia,globe,jagat,tanah",,,
buang,,"campakkan,keluarkan,lempar,lepaskan",,
buas,,,"angkara,galak,ganas,garang,liar,panas,ki,bengis,beringas,biadab,,brutal,,kejam,keji,papakerma,sadis,tebal,hati,,zalim",
buat,,"kerjakan,lakukan,bikin,bagi,untuk",,
buat,,,,
buaya,"ki,bajul,bergajul,penjahat",,,
bubar,,"bercempera,bercerai-berai,berhamburan,berpencaran,bersurai,bertemperasan,bertempiar,buyar,gagal,jatuh,kandas,mudarat,pudar,berakhir,bercerai,berparak,berpisah,habis,patah,pecah,rusak,selesai,tamat,usai",,
